budget,actual_cost,revenue,profit,profit_margin,schedule_delay,project_duration,team_size,labor_cost,resource_utilization,margin_risk
430099.64,434150.44,458244.78,24094.33,0.053,1,7,15,155836.36,0.74,0
797745.35,727147.99,957659.12,230511.12,0.241,0,9,15,273268.08,0.9,0
110330.01,116463.74,125505.07,9041.34,0.072,0,4,16,33562.45,0.79,0
1286347.84,1437311.95,1458072.64,20760.69,0.014,1,9,17,335416.85,0.71,0
310174.93,266868.24,354719.08,87850.84,0.248,1,9,10,65601.22,0.88,0
138236.17,140835.85,155989.84,15153.99,0.097,0,2,6,31765.19,0.77,0
678509.25,745547.22,840346.43,94799.21,0.113,0,8,13,191455.78,0.6,1
1654688.43,1634143.93,1932049.14,297905.21,0.154,0,13,14,535024.17,0.88,0
144208.95,154000.72,156884.57,2883.85,0.018,0,9,18,41011.98,0.95,0
317998.49,338609.26,380874.95,42265.69,0.111,1,8,11,119096.91,0.79,0
1699034.32,1730143.49,2125508.28,395364.79,0.186,2,16,16,409100.76,0.84,0
423293.87,388359.49,473142.67,84783.19,0.179,2,13,17,133196.82,0.7,0
478767.24,515170.28,587332.95,72162.67,0.123,2,11,17,117046.43,0.67,1
594147.07,562992.11,703843.67,140851.55,0.2,1,14,9,150515.45,0.77,0
1986657.93,2086070.3,2323658.48,237588.18,0.102,2,13,31,488933.78,0.58,0
715788.02,786121.21,894478.73,108357.52,0.121,0,4,16,272587.99,0.78,0
146105.86,173688.68,178238.19,4549.51,0.026,1,10,7,38662.92,0.66,1
197648.7,204121.02,236507.1,32386.08,0.137,0,8,14,68713.31,0.66,0
405373.55,415898.52,457382.1,41483.58,0.091,1,8,10,148136.45,0.76,0
121201.26,124060.44,145015.43,20954.99,0.145,1,11,4,33544.33,0.73,0
1331416.13,1224093.04,1598116.31,374023.27,0.234,1,10,23,401014.3,0.63,0
459311.16,501825.23,581656.38,79831.15,0.137,1,11,19,150544.28,0.79,0
101618.04,109542.38,126749.35,17206.97,0.136,0,9,3,27538.88,0.74,0
212801.63,197072.0,250857.34,53785.34,0.214,1,4,14,63465.83,0.78,0
153453.15,176919.24,168499.31,-8419.93,-0.05,0,7,13,59592.68,0.89,0
577654.6,559106.38,661563.14,102456.76,0.155,1,8,18,183446.19,0.87,0
632703.76,681460.04,763983.52,82523.48,0.108,0,8,10,156685.3,0.76,0
453041.82,410677.24,513406.13,102728.89,0.2,0,3,8,133696.16,0.61,0
1551758.03,1562026.66,1805022.6,242995.95,0.135,0,21,22,489035.97,0.58,0
455319.33,485828.42,575270.45,89442.03,0.155,1,11,25,133737.36,0.85,0
569355.7,577768.65,689111.33,111342.69,0.162,0,6,18,141109.18,0.95,0
179564.52,195602.21,203121.27,7519.05,0.037,0,5,24,51703.74,0.81,0
995030.69,1082407.37,1293035.61,210628.25,0.163,0,11,19,321479.83,0.68,0
86717.55,82085.96,108613.8,26527.84,0.244,0,7,16,23871.61,0.7,0
790375.9,866168.97,1040408.22,174239.25,0.167,1,13,17,273510.24,0.8,0
733355.57,778560.85,871179.75,92618.9,0.106,0,10,9,266416.33,0.69,0
71346.97,71785.51,71648.98,-136.53,-0.002,0,4,11,20234.41,0.74,0
2115891.61,2508723.45,2505492.3,-3231.15,-0.001,1,13,22,904358.08,0.94,
204146.92,227762.1,241533.48,13771.38,0.057,0,5,16,52920.52,0.74,0
77575.8,88613.84,90033.98,1420.14,0.016,0,2,17,25319.3,0.89,0
124415.59,141926.28,150514.49,8588.2,0.057,0,3,15,40151.45,0.72,1
519702.49,538072.92,602388.4,64315.49,0.107,1,8,18,148502.77,0.71,1
58908.17,66933.36,71048.33,4114.98,0.058,0,4,3,22552.48,0.92,0
139017.23,160198.1,164092.14,3894.04,0.024,0,7,8,45566.48,0.53,0
449840.67,430272.92,571228.33,140955.41,0.247,0,12,12,127966.78,0.57,0
878655.35,970312.95,1003911.25,33598.3,0.033,2,15,26,217381.01,0.67,1
144593.66,161401.99,166009.82,4607.83,0.028,0,8,21,51264.06,0.64,0
364821.09,401756.83,429135.25,27378.42,0.064,0,7,4,99597.72,0.76,0
686912.85,723995.3,819803.27,95807.96,0.117,1,9,3,161892.82,0.77,1
735602.63,697641.94,834943.61,137301.67,0.164,0,10,17,183485.15,0.78,
366604.5,390800.83,417290.61,26489.78,0.063,0,5,23,91465.42,0.76,0
1224561.9,1511465.86,1459600.62,-51865.24,-0.036,1,13,23,492865.37,0.6,
697424.6,757452.85,855689.64,98236.78,0.115,0,8,13,193380.87,0.95,0
88364.02,93022.77,100555.41,7532.64,0.075,0,5,5,34374.43,0.76,0
585703.54,576497.71,621610.97,45113.26,0.073,1,10,17,194100.76,0.61,0
607040.24,562468.84,719066.82,156597.98,0.218,1,11,10,141619.0,0.69,0
373771.82,370671.67,446851.56,76179.9,0.17,0,7,8,88013.09,0.67,0
1563821.93,1697656.79,1960698.75,263041.96,0.134,0,15,21,630176.74,0.67,0
443046.77,443394.55,542237.33,98842.77,0.182,0,11,14,158658.49,0.87,0
143616.88,137665.18,185034.69,47369.52,0.256,0,9,17,49516.36,0.83,0
133555.66,142494.28,167815.82,25321.54,0.151,0,2,10,47772.84,0.95,0
577242.83,646382.53,649000.72,2618.19,0.004,0,12,20,217222.96,0.72,1
122908.99,136854.59,141164.16,4309.58,0.031,0,2,13,35555.74,0.74,0
174088.11,162794.53,215269.12,52474.59,0.244,0,6,14,44777.39,0.62,0
429339.3,431510.64,490596.54,59085.89,0.12,0,8,14,136037.45,0.59,0
687410.64,768965.82,742173.22,-26792.6,-0.036,0,2,9,232273.78,0.67,1
565749.25,575541.88,678503.48,102961.6,0.152,0,4,17,126640.12,0.68,0
126722.39,147543.97,146082.08,-1461.89,-0.01,0,7,3,49426.48,0.6,1
196177.34,206425.85,235280.38,28854.53,0.123,0,10,9,74017.23,0.78,0
119556.32,116205.24,137366.84,21161.6,0.154,0,6,13,25694.97,0.88,0
77448.42,73106.39,81744.07,8637.68,0.106,0,7,8,19491.46,0.57,0
1474179.09,1424932.35,1765061.06,340128.71,0.193,0,12,18,350940.74,0.63,0
139400.05,147318.86,166643.27,19324.42,0.116,0,4,10,54931.03,0.81,0
563900.22,547282.82,589841.48,42558.66,0.072,1,9,13,153419.04,0.65,0
523139.22,549979.01,590420.21,40441.2,0.068,1,12,10,186066.19,0.65,0
614650.56,625828.36,705027.8,79199.44,0.112,1,8,13,232585.83,0.63,0
1894433.95,1765450.72,2212411.93,446961.22,0.202,2,19,18,442638.35,0.87,0
520755.44,598354.41,603955.87,5601.46,0.009,0,7,9,168221.21,0.79,0
167332.95,194507.05,192185.29,-2321.77,-0.012,0,3,21,68435.29,0.74,0
1648096.45,1682310.15,1807949.04,125638.88,0.069,0,10,26,534251.31,0.73,0
98553.11,103122.31,117119.85,13997.54,0.12,0,3,11,27763.48,0.78,0
159844.73,158382.2,203093.51,44711.32,0.22,0,2,7,58970.44,0.87,0
110386.87,108552.64,129832.11,21279.47,0.164,0,8,4,39846.77,0.57,0
141451.64,156364.69,165053.99,8689.3,0.053,1,9,13,42952.73,0.81,0
623947.17,686168.27,798742.33,112574.06,0.141,0,11,17,243731.32,0.69,0
458616.3,503043.53,515558.17,12514.63,0.024,0,4,20,154590.99,0.68,0
467376.23,526247.79,544138.3,17890.51,0.033,0,8,3,175327.15,0.72,0
106544.52,101819.32,129931.42,28112.1,0.216,1,7,17,34262.06,0.77,0
941865.6,1003769.8,1132828.08,129058.29,0.114,0,8,21,364954.21,0.72,0
784533.33,857503.08,913906.91,56403.83,0.062,0,12,13,213596.15,0.79,0
424869.87,382324.46,502603.42,120278.96,0.239,2,10,16,136592.9,0.68,0
150753.59,162043.34,181024.63,18981.29,0.105,0,7,9,50283.13,0.56,0
611547.47,660693.89,837283.96,176590.07,0.211,1,5,15,215828.68,0.89,0
431475.9,519443.33,465075.91,-54367.42,-0.117,0,6,16,150656.59,0.67,1
1501380.33,1473296.98,1919668.92,446371.94,0.233,1,17,23,332779.59,0.54,0
134425.92,126447.92,157600.38,31152.47,0.198,0,8,12,37600.51,0.81,0
1285481.03,1352715.89,1510769.25,158053.36,0.105,1,17,15,311004.86,0.65,1
96835.04,118486.86,107745.52,-10741.34,-0.1,0,6,9,36890.31,0.61,0
128696.66,145592.92,142973.08,-2619.84,-0.018,0,7,11,48357.02,0.84,0
50000.0,52410.8,65612.69,13201.89,0.201,0,5,14,19184.87,0.68,0
127702.41,134441.26,145033.74,10592.48,0.073,0,3,18,29921.85,0.74,0
1554375.35,1813918.22,1912533.19,98614.97,0.052,1,14,14,517015.03,0.79,1
540578.09,616361.69,588011.06,-28350.62,-0.048,0,10,10,165280.23,0.81,0
114203.82,116365.95,144842.83,28476.88,0.197,0,2,10,29390.03,0.72,0
117649.41,124146.96,146870.39,22723.43,0.155,0,6,10,29034.63,0.84,0
1383791.41,1440418.3,1696825.82,256407.52,0.151,3,17,13,393446.81,0.77,1
145974.59,145976.03,171701.39,25725.36,0.15,1,6,16,38719.04,0.89,0
636468.52,726644.91,831867.42,105222.5,0.126,0,9,14,205641.11,0.67,1
114189.95,119000.61,141306.35,22305.74,0.158,0,2,10,32935.51,0.69,0
631140.5,625576.32,748475.77,122899.46,0.164,1,14,10,188137.05,0.92,0
1519977.77,1654762.09,1655051.13,289.04,0.0,1,14,6,518157.67,0.79,0
710780.96,742885.3,894999.85,152114.54,0.17,0,10,12,171606.97,0.86,0
128923.65,136528.3,149829.58,13301.28,0.089,0,2,18,40290.2,0.71,0
563042.49,569385.77,662323.04,92937.26,0.14,0,8,7,210893.6,0.65,0
454177.14,436629.85,546714.79,110084.94,0.201,0,7,19,138386.99,0.71,0
639532.62,727649.99,776177.74,48527.74,0.063,0,7,3,267997.28,0.59,1
54125.45,50026.73,65472.51,15445.78,0.236,0,4,15,19000.5,0.76,0
50000.0,55691.38,59074.29,3382.92,0.057,0,4,10,20357.16,0.56,0
763791.93,941327.68,838334.83,-102992.85,-0.123,2,15,20,268187.31,0.75,1
677985.32,626681.82,754018.65,127336.83,0.169,0,9,16,215292.98,0.89,0
587277.05,680829.77,693875.26,13045.5,0.019,1,10,22,187045.12,0.69,1
58275.27,63487.35,69459.91,5972.56,0.086,2,12,13,19769.44,0.74,1
486430.97,475644.25,572242.47,96598.22,0.169,0,2,13,170627.69,0.83,0
674034.03,700610.57,714713.51,14102.95,0.02,1,12,9,193757.85,0.7,0
67162.99,70767.61,76112.75,5345.15,0.07,1,7,3,18304.48,0.87,0
128129.44,139749.33,160457.23,20707.9,0.129,0,8,20,31423.56,0.71,0
97339.56,119227.04,112386.71,-6840.33,-0.061,0,8,6,28626.76,0.65,1
65375.3,65349.02,73640.72,8291.7,0.113,0,2,5,15088.17,0.82,0
615252.81,594569.76,725264.68,130694.91,0.18,0,13,15,160565.63,0.77,0
583910.29,585286.68,727434.93,142148.25,0.195,2,12,11,170559.69,0.84,1
163356.84,191870.86,201985.98,10115.12,0.05,0,8,20,50643.65,0.54,1
628784.66,657841.02,691256.83,33415.81,0.048,0,9,11,177378.7,0.59,0
76014.11,81748.06,91098.67,9350.61,0.103,0,4,11,28132.81,0.81,0
476308.16,480094.59,539039.11,58944.52,0.109,1,14,11,154702.84,0.75,0
660515.53,716712.28,791110.54,74398.26,0.094,1,7,11,169638.7,0.51,1
1267050.26,1268826.94,1483759.07,214932.13,0.145,1,12,15,331934.88,0.71,0
1312994.8,1478109.51,1634420.34,156310.83,0.096,0,9,20,476331.51,0.66,1
1782836.55,1746568.98,2096083.05,349514.07,0.167,1,18,23,565940.65,0.78,0
1388117.84,1387037.12,1659805.83,272768.71,0.164,1,12,28,409236.97,0.77,0
915131.48,1061164.59,1130403.26,69238.67,0.061,0,3,14,345894.18,0.64,0
107120.63,114744.05,127859.29,13115.24,0.103,0,9,13,41598.52,0.57,1
97537.69,99756.88,121993.99,22237.11,0.182,0,5,18,30734.23,0.8,0
630067.73,678458.0,791402.29,112944.29,0.143,0,5,13,169693.98,0.86,0
131549.12,150635.29,160200.37,9565.08,0.06,0,8,4,51015.57,0.93,0
135323.29,147131.85,170195.98,23064.13,0.136,0,3,8,34856.13,0.78,0
1663266.11,1560876.1,1916610.92,355734.82,0.186,1,16,18,582636.6,0.86,0
519921.76,545430.22,640995.32,95565.09,0.149,0,11,11,138470.72,0.79,0
600198.85,671344.14,641273.58,-30070.56,-0.047,0,7,12,228775.55,0.92,0
1190786.12,1064020.28,1454459.94,390439.66,0.268,1,14,12,277040.7,0.73,0
1579685.1,1508663.29,1837822.41,329159.12,0.179,0,13,23,377359.54,0.86,0
174343.31,190615.06,210917.75,20302.69,0.096,0,3,11,44912.27,0.7,0
911259.76,952951.22,1089206.9,136255.69,0.125,2,12,9,345498.01,0.69,1
163619.39,182197.4,190922.23,8724.83,0.046,0,3,18,63362.6,0.77,0
714936.45,771857.51,833427.08,61569.57,0.074,0,7,6,201033.36,0.81,0
456153.56,426918.78,508970.9,82052.13,0.161,1,12,18,103901.55,0.7,0
188761.62,211072.78,232463.96,21391.19,0.092,0,5,16,79040.8,0.63,1
99735.89,100743.1,110645.23,9902.13,0.089,0,5,8,35315.79,0.68,0
2046163.17,2182760.13,2413041.0,230280.88,0.095,3,18,19,804570.07,0.65,1
484565.64,455344.27,571551.58,116207.31,0.203,0,12,17,105326.35,0.8,0
623713.38,644123.26,804526.23,160402.98,0.199,0,13,17,203986.56,0.84,0
90669.4,103533.18,107293.8,3760.62,0.035,0,3,9,31160.09,0.89,0
553552.54,561141.24,634171.44,73030.19,0.115,1,8,14,189191.62,0.92,0
145596.14,166862.01,165869.84,-992.17,-0.006,0,5,6,43605.73,0.79,0
162861.6,181609.98,188358.58,6748.6,0.036,0,2,3,63224.04,0.76,0
575836.44,596670.81,703790.99,107120.18,0.152,1,9,8,163287.97,0.75,0
206197.15,240953.09,228980.94,-11972.15,-0.052,0,4,14,61509.37,0.72,1
683793.98,770365.29,840633.73,70268.44,0.084,0,5,3,241686.2,0.8,0
455602.35,469951.97,568506.62,98554.65,0.173,1,9,18,122058.74,0.69,0
93911.46,89236.23,109740.02,20503.79,0.187,0,2,4,19733.23,0.85,0
570270.65,553487.99,715460.83,161972.84,0.226,0,7,15,189933.29,0.61,0
586154.19,641142.76,694520.45,53377.69,0.077,1,10,22,161661.46,0.79,0
118484.28,131259.98,154828.26,23568.28,0.152,0,10,24,42863.15,0.76,0
121394.68,142891.32,145364.88,2473.57,0.017,0,6,22,34851.34,0.65,0
1787351.89,1681537.54,2122872.11,441334.57,0.208,0,15,16,586168.77,0.82,0
199954.87,196731.35,229531.11,32799.76,0.143,0,6,23,70139.76,0.73,0
131798.86,124998.05,163614.06,38616.0,0.236,0,8,9,41772.55,0.82,0
674521.88,722572.8,702029.6,-20543.2,-0.029,0,8,11,217481.68,0.81,0
717394.47,769281.26,756455.17,-12826.08,-0.017,0,2,10,218909.13,0.78,0
117324.36,120285.62,137386.01,17100.38,0.124,0,4,19,31059.58,0.74,0
69439.75,61521.64,83507.6,21985.96,0.263,0,2,14,17937.77,0.82,0
183302.2,178825.14,224616.55,45791.41,0.204,0,8,11,39946.67,0.89,0
312890.99,361587.19,344270.78,-17316.41,-0.05,0,6,15,98017.63,0.66,0
147208.62,158484.42,178898.42,20413.99,0.114,0,2,11,52677.65,0.84,0
144789.55,167676.17,163190.31,-4485.87,-0.027,0,4,10,51366.91,0.68,1
576545.53,592136.72,589524.13,-2612.59,-0.004,0,6,21,213257.62,0.69,0
2264702.91,2535696.66,2708863.49,173166.84,0.064,1,24,29,613052.84,0.84,0
65394.37,67057.48,89237.92,22180.44,0.249,0,2,8,25337.74,0.76,0
174404.64,164427.69,212221.14,47793.45,0.225,0,3,9,39234.6,0.79,0
137804.17,151410.13,167838.21,16428.08,0.098,1,10,8,56021.29,0.66,0
101032.87,107923.28,108990.89,1067.6,0.01,0,11,8,25304.45,0.81,0
561876.85,560236.49,628378.22,68141.73,0.108,0,12,9,195246.5,0.71,0
544009.76,582867.02,581186.09,-1680.93,-0.003,1,5,12,139549.73,0.67,1
536778.34,606630.53,652316.39,45685.86,0.07,1,9,9,196618.6,0.92,0
812128.09,768886.4,946281.0,177394.59,0.187,0,10,13,210672.05,0.74,0
745432.21,766281.06,923561.43,157280.37,0.17,1,8,18,272984.52,0.75,0
1079978.78,1285013.8,1248232.71,-36781.08,-0.029,1,9,17,335268.58,0.85,0
1958678.7,2161567.74,2305185.85,143618.11,0.062,2,13,23,672269.27,0.73,0
140123.61,139779.61,159555.38,19775.77,0.124,1,7,12,46956.06,0.73,0
516904.72,503385.79,622030.87,118645.08,0.191,0,2,21,140331.11,0.89,0
50000.0,54759.37,57994.38,3235.01,0.056,0,5,13,17722.06,0.91,0
499687.24,428549.79,613856.87,185307.08,0.302,1,5,13,97895.16,0.82,0
86077.38,95427.65,107912.47,12484.82,0.116,0,5,3,30933.39,0.62,0
122284.71,128612.86,145435.59,16822.74,0.116,1,4,14,40008.48,0.54,1
659722.09,812887.74,728515.97,-84371.77,-0.116,0,4,14,225237.6,0.63,1
676272.83,758859.08,863893.3,105034.22,0.122,0,10,14,231306.6,0.95,0
657475.23,733903.24,704754.15,-29149.09,-0.041,,6,14,277784.46,0.86,
664376.72,712790.49,812241.16,99450.68,0.122,0,8,19,256417.67,0.63,0
120778.33,123578.03,144161.34,20583.31,0.143,1,9,11,34810.5,0.62,0
1292140.46,1188688.43,1540296.95,351608.52,0.228,0,11,18,291352.79,0.81,0
615118.66,596980.56,734014.7,137034.14,0.187,0,13,16,143384.0,0.76,0
612964.53,645629.41,656334.46,10705.04,0.016,0,10,12,192058.03,0.76,0
91769.06,95512.43,109002.36,13489.93,0.124,1,11,5,25065.95,0.72,0
1517280.67,1737680.39,1826827.4,89147.01,0.049,1,15,16,611356.66,0.77,0
128066.12,129545.04,151022.63,21477.59,0.142,0,6,7,41404.16,0.95,0
712352.09,653557.83,870031.13,216473.31,0.249,0,7,23,166547.43,0.72,0
92654.63,98396.24,110099.18,11702.94,0.106,0,6,11,35100.15,0.76,0
1512184.23,1533272.66,1732288.63,199015.97,0.115,0,15,26,515710.2,0.68,0
1660924.17,1864614.9,1842628.76,-21986.14,-0.012,2,13,25,686534.2,0.76,1
416673.59,379013.34,487071.11,108057.77,0.222,2,7,16,88605.2,0.76,0
430473.19,479361.18,493657.31,14296.13,0.029,0,8,13,133552.82,0.85,0
174745.18,198733.74,208491.9,9758.16,0.047,0,2,7,57084.27,0.74,1
102147.18,104239.65,105487.55,1247.91,0.012,0,2,17,34093.11,0.77,0
110878.88,102918.53,128636.52,25717.99,0.2,0,3,19,36711.44,0.67,0
523475.88,598221.53,619622.37,21400.84,0.035,1,11,26,181695.31,0.7,0
1267709.57,1396242.4,1478794.39,82551.99,0.056,0,9,22,390114.8,0.93,0
460681.19,505835.79,589681.49,83845.69,0.142,0,9,12,156272.57,0.85,0
931858.6,958371.68,1141575.58,183203.9,0.16,0,12,18,300908.75,0.74,0
1696329.31,1892339.92,2084696.97,192357.04,0.092,0,9,17,443193.05,0.79,0
58918.36,59974.77,73951.52,13976.75,0.189,0,3,9,16036.55,0.59,0
483147.09,549516.3,598177.72,48661.42,0.081,0,5,20,142553.17,0.7,0
917162.23,935370.63,1039555.24,104184.61,0.1,0,12,18,252081.42,0.6,0
123158.56,145265.89,141452.91,-3812.99,-0.027,1,8,17,47341.81,0.79,1
496959.54,447541.81,607174.91,159633.11,0.263,1,7,21,157030.85,0.76,0
131151.99,135009.96,152031.05,17021.09,0.112,0,8,16,31632.08,0.86,0
886094.68,883866.68,1035293.24,151426.56,0.146,0,9,9,207136.05,0.6,0
681043.19,725904.52,775137.11,49232.59,0.064,0,10,20,238581.2,0.75,0
169018.82,164269.44,195921.35,31651.91,0.162,0,3,11,40337.99,0.7,0
1731240.67,1582090.51,2040284.51,458194.0,0.225,1,15,15,534568.02,0.69,0
144805.95,141475.32,166182.86,24707.54,0.149,1,10,3,50925.39,0.77,0
155796.42,163009.66,184230.27,21220.61,0.115,0,5,3,38419.28,0.76,0
50000.0,55717.03,55711.34,-5.69,-0.0,0,8,5,16058.26,0.63,0
1479638.59,1858070.4,1793808.79,-64261.61,-0.036,0,15,21,698707.17,0.53,1
702994.23,688411.93,773404.51,84992.57,0.11,0,9,14,252622.02,0.89,0
50000.0,46855.77,59590.23,12734.45,0.214,0,6,12,17127.37,0.83,0
1518677.96,1403390.35,1714447.09,311056.74,0.181,1,11,15,349085.2,0.8,0
120250.93,121198.2,136338.15,15139.95,0.111,1,9,11,41571.26,0.7,0
147348.38,150045.32,172300.98,22255.66,0.129,0,3,12,45253.31,0.84,0
1696767.64,1688480.66,2082953.58,394472.92,0.189,0,9,16,381673.49,0.69,0
136742.92,137831.84,154377.72,16545.88,0.107,0,2,14,51887.71,0.69,0
1337697.94,1438824.18,1539775.5,100951.32,0.066,1,17,11,458248.84,0.61,1
388435.92,381105.0,483762.37,102657.37,0.212,1,7,19,91694.13,0.75,0
90076.16,92225.93,108373.18,16147.25,0.149,0,7,13,28646.45,0.76,0
714254.34,628210.23,740640.03,112429.8,0.152,1,11,9,206284.21,0.76,0
711772.63,723956.76,834049.61,110092.85,0.132,0,8,12,235774.73,0.85,0
168319.76,171259.72,193733.18,22473.46,0.116,0,11,3,60363.57,0.77,0
726267.12,770456.89,886279.81,115822.92,0.131,0,9,14,251728.22,0.82,0
137665.15,158027.82,168668.05,10640.22,0.063,0,4,10,44293.57,0.68,0
95418.45,98821.06,121858.09,23037.03,0.189,0,6,18,27375.88,0.74,0
1638427.45,1719252.77,1812189.44,92936.68,0.051,0,12,26,649003.33,0.64,0
742869.3,758306.66,905510.59,147203.93,0.163,1,9,21,232065.15,0.58,0
817688.2,856216.29,913577.05,57360.76,0.063,2,13,12,260598.7,0.75,1
118949.57,135247.66,141023.73,5776.07,0.041,0,8,12,32589.59,0.82,0
100885.9,97183.51,130547.98,33364.48,0.256,1,12,6,22537.69,0.62,0
753458.48,752292.72,931941.54,179648.83,0.193,0,7,21,243514.4,0.5,0
128976.69,126299.21,153070.01,26770.8,0.175,0,5,15,39758.65,0.79,0
138359.76,149912.91,151771.61,1858.7,0.012,0,9,11,42768.13,0.77,0
1555139.81,1651710.06,1787385.4,135675.35,0.076,1,16,17,395744.82,0.85,0
50000.0,51218.46,55249.78,4031.32,0.073,0,5,14,16769.37,0.57,0
1946518.4,1970644.1,2205491.16,234847.06,0.106,1,16,27,517039.1,0.77,0
706054.85,785777.27,816318.41,30541.14,0.037,0,10,13,238036.94,0.69,0
865891.0,979303.63,976248.34,-3055.29,-0.003,2,13,10,223589.29,0.74,1
1258260.1,1315659.07,1534484.48,218825.41,0.143,0,10,25,498200.34,0.66,0
175419.45,194372.0,233280.67,38908.67,0.167,0,4,10,71442.54,0.58,1
606900.96,645967.04,734665.42,88698.38,0.121,0,9,8,155660.47,0.88,0
513509.73,482836.99,608048.05,125211.06,0.206,0,3,10,167614.96,0.62,0
338029.99,344117.24,398361.3,54244.07,0.136,0,9,22,124988.07,0.68,0
50000.0,50291.83,59261.05,8969.22,0.151,3,13,14,18055.18,0.67,0
78554.26,84961.64,94505.23,9543.58,0.101,0,7,16,30292.51,0.71,1
94902.29,96838.97,99410.44,2571.47,0.026,0,2,12,24254.89,0.71,0
1430824.08,1619445.78,1659703.37,40257.59,0.024,1,13,18,434388.78,0.73,1
413138.63,443056.66,487060.0,44003.34,0.09,1,17,16,117570.03,0.71,0
1207079.99,1401755.18,1387249.9,-14505.27,-0.01,0,8,17,337326.53,0.61,1
158661.77,169863.71,193184.36,23320.65,0.121,0,2,9,47224.37,0.76,0
588013.73,650229.68,706702.25,56472.58,0.08,0,8,24,162727.9,0.67,1
844652.18,800762.76,991268.35,190505.59,0.192,1,12,17,244535.9,0.74,0
197689.82,212278.73,226231.16,13952.42,0.062,0,2,4,57886.59,0.76,0
135153.35,118407.64,181400.34,62992.7,0.347,0,12,16,42145.55,0.52,0
1430801.5,1527405.09,1617876.51,90471.42,0.056,1,17,24,365590.07,0.67,0
578756.85,635400.85,679147.2,43746.35,0.064,0,14,10,172871.56,0.69,1
605156.3,582006.19,778377.65,196371.46,0.252,1,8,13,134150.17,0.83,0
146488.13,175678.47,198584.62,22906.15,0.115,0,2,7,51205.04,0.82,0
80225.8,88167.07,82815.58,-5351.49,-0.065,0,4,13,24903.69,0.65,0
163294.15,184007.4,186248.72,2241.32,0.012,0,3,6,54027.6,0.69,0
92091.24,99350.75,118433.96,19083.21,0.161,0,7,9,27256.45,0.66,0
614455.39,623195.43,697872.13,74676.7,0.107,0,4,9,197329.1,0.6,0
86632.61,81267.77,110398.47,29130.7,0.264,1,8,11,28757.35,0.6,0
750645.86,786052.92,845508.91,59455.99,0.07,2,16,17,174537.13,0.73,0
541805.25,590816.33,642377.31,51560.99,0.08,0,6,23,186629.66,0.74,0
163544.59,178082.67,199303.19,21220.52,0.106,0,5,13,58233.13,0.88,0
123279.55,141090.88,140453.73,-637.15,-0.005,1,7,15,37479.25,0.79,0
235668.12,272378.94,259411.05,-12967.89,-0.05,1,4,14,86624.54,0.87,0
150856.07,164347.24,162467.37,-1879.87,-0.012,0,2,12,56904.66,0.83,0
125373.12,126349.18,144587.93,18238.76,0.126,1,8,9,42027.51,0.74,0
908072.8,1052861.7,1089290.23,36428.53,0.033,0,6,16,355533.83,0.76,1
583696.84,619419.77,697162.53,77742.76,0.112,0,5,13,210237.39,0.92,0
139452.4,164167.87,170860.45,6692.58,0.039,0,7,22,49824.61,0.69,1
157548.94,149835.36,190331.26,40495.9,0.213,0,7,6,54636.81,0.87,0
73188.77,75594.34,83954.55,8360.21,0.1,0,4,7,19597.43,0.83,0
1829846.11,1954460.58,2143041.81,188581.23,0.088,1,11,20,645948.51,0.95,0
744588.81,762890.16,885480.24,122590.08,0.138,0,8,28,207704.1,0.76,0
494601.34,499060.86,609226.49,110165.63,0.181,0,6,4,164821.3,0.61,0
52201.06,58795.46,61939.72,3144.26,0.051,0,8,16,17422.19,0.87,0
263872.99,248706.2,316772.38,68066.19,0.215,1,9,13,82284.0,0.71,0
825041.19,869549.07,971604.48,102055.41,0.105,0,11,29,276850.93,0.82,0
431210.27,471210.84,553001.2,81790.37,0.148,0,7,8,148373.72,0.77,0
89167.25,104672.64,101701.25,-2971.4,-0.029,0,10,5,32027.81,0.78,0
114578.95,123084.22,135699.19,12614.97,0.093,0,6,16,45409.86,0.73,0
149529.49,149973.82,169928.07,19954.25,0.117,0,4,13,47481.83,0.77,0
424013.15,481298.14,495069.66,13771.53,0.028,0,5,15,156893.32,0.8,0
445346.21,463535.13,504871.6,41336.46,0.082,0,7,16,147503.99,0.76,0
383753.23,395176.28,434358.01,39181.73,0.09,0,5,18,132401.3,0.94,0
74113.62,78079.17,86805.11,8725.95,0.101,0,4,17,22867.85,0.85,0
173104.62,161915.84,211789.26,49873.42,0.235,0,5,23,52519.38,0.67,0
137939.42,145855.78,170134.56,24278.78,0.143,0,3,11,38004.04,0.59,0
545458.01,488847.58,654685.38,165837.81,0.253,0,10,23,114981.37,0.71,0
560503.83,631762.07,657976.48,26214.42,0.04,0,11,22,196434.45,0.72,0
1836915.96,1926363.89,2093299.08,166935.19,0.08,0,12,23,428004.1,0.86,0
743630.57,763035.16,923106.38,160071.22,0.173,0,8,8,174623.02,0.71,0
69449.24,78332.66,80285.55,1952.89,0.024,1,6,5,24046.19,0.63,0
619378.12,626733.79,719337.54,92603.75,0.129,0,9,20,169629.5,0.62,0
1361080.82,1515156.84,1489619.81,-25537.03,-0.017,1,14,4,452232.96,0.8,0
1618161.97,1675246.53,1679455.56,4209.03,0.003,2,13,21,604603.33,0.5,0
151666.17,146336.68,183856.51,37519.83,0.204,1,12,7,48866.43,0.69,0
145692.05,183722.12,168399.18,-15322.94,-0.091,0,5,9,50981.83,0.78,1
